InstanceType,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f
x2gd.medium,True,True,True,True,False,True
x2gd.metal,True,True,True,True,False,True
x2gd.xlarge,True,True,True,True,False,True
x2idn.16xlarge,True,True,True,True,False,True
x2idn.24xlarge,True,True,True,True,False,True
x2idn.32xlarge,True,True,True,True,False,True
x2idn.metal,True,True,True,True,False,True
x2iedn.16xlarge,True,True,True,True,False,True
x2iedn.24xlarge,True,True,True,True,False,True
x2iedn.2xlarge,True,True,True,True,False,True
x2iedn.32xlarge,True,True,True,True,False,True
x2iedn.4xlarge,True,True,True,True,False,True
x2iedn.8xlarge,True,True,True,True,False,True
x2iedn.metal,True,True,True,True,False,True
x2iedn.xlarge,True,True,True,True,False,True
x2iezn.12xlarge,True,True,False,True,False,False
x2iezn.2xlarge,True,True,False,True,False,False
x2iezn.4xlarge,True,True,False,True,False,False
x2iezn.6xlarge,True,True,False,True,False,False
x2iezn.8xlarge,True,True,False,True,False,False
x2iezn.metal,True,True,False,True,False,False
z1d.12xlarge,True,True,True,True,False,True
z1d.2xlarge,True,True,True,True,False,True
z1d.3xlarge,True,True,True,True,False,True
z1d.6xlarge,True,True,True,True,False,True
z1d.large,True,True,True,True,False,True
z1d.metal,True,True,True,True,False,True
z1d.xlarge,True,True,True,True,False,True
